source,target,weight
0,86,10
0,80,10
0,121,5
0,116,10
0,114,5
0,127,5
0,74,10
0,93,5
0,54,5
0,60,10
0,41,5
0,90,10
0,83,10
0,115,10
0,110,5
0,13,5
0,67,5
0,58,5
0,100,10
0,45,10
0,16,5
0,89,10
0,33,10
0,40,10
0,51,10
0,123,10
0,75,10
0,7,5
0,52,10
0,27,5
0,92,10
0,122,5
0,31,5
0,38,10
0,125,10
0,37,10
0,57,10
0,8,10
0,20,5
0,36,5
0,62,5
0,119,5
0,70,5
0,46,5
0,53,10
0,63,10
0,6,10
0,44,10
0,22,10
0,11,5
0,68,10
0,72,5
0,21,5
0,25,10
0,71,10
0,3,5
0,17,10
0,15,5
0,1,10
0,2,10
1,83,10
1,112,5
1,13,10
1,104,5
1,65,10
1,12,10
1,103,10
1,99,10
1,47,5
1,80,5
1,32,10
1,111,5
1,94,10
1,101,10
1,110,10
1,16,10
1,88,10
1,97,10
1,29,10
1,9,10
1,61,5
1,93,10
1,125,10
1,72,10
1,38,10
1,53,10
1,11,5
1,8,10
1,18,10
1,89,10
1,19,5
1,122,5
1,15,10
1,114,5
1,58,10
1,126,10
1,41,10
1,119,10
1,59,10
1,52,10
1,57,10
1,21,10
1,116,10
1,31,10
1,115,10
1,40,5
1,25,10
1,37,10
1,76,10
1,51,10
1,60,10
1,45,10
1,17,10
1,2,10
15,2,10
2,48,10
106,2,10
2,83,10
118,2,10
2,64,10
113,2,10
2,51,10
2,90,10
2,99,10
2,29,10
110,2,10
2,45,10
2,41,10
16,2,10
18,2,10
2,88,10
2,84,10
2,94,10
2,60,10
2,93,10
125,2,10
2,92,10
2,38,10
2,67,10
2,52,10
11,2,10
2,31,10
2,75,10
126,2,10
2,58,10
2,53,10
13,2,10
2,59,10
115,2,10
2,76,10
2,21,10
2,79,10
122,2,10
116,2,10
2,80,10
2,68,10
2,62,10
19,2,10
2,25,10
2,37,10
2,72,10
2,46,10
2,3,10
2,8,10
17,2,10
3,65,10
3,6,10
12,3,10
127,3,10
3,107,5
122,3,10
3,38,10
25,3,10
123,3,10
11,3,10
106,3,10
3,44,10
3,90,10
115,3,10
3,83,10
16,3,10
3,72,10
3,94,10
3,62,10
3,74,10
3,51,10
3,67,10
3,61,10
3,80,10
110,3,10
29,3,10
3,52,10
3,8,10
3,37,10
3,40,10
3,7,5
3,46,10
4,84,10
10,4,10
4,42,10
4,24,5
26,4,10
4,39,5
4,5,5
5,41,5
35,5,10
5,61,5
117,5,10
109,5,10
5,11,5
21,5,10
33,5,10
42,5,10
10,5,10
49,5,10
39,5,10
5,0,5
5,36,5
24,5,10
26,5,10
6,49,5
6,61,10
123,6,10
12,6,10
6,75,10
